ID	DateTime	Action	LicenseCode	ApplicationName	User	Computer	TotalApplicationInstancesPerLicense	LicenseDuration	TotalLicensePerUser	TotalLicenses	InstancesPerApplication	ApplicationInstancesPerLicense	ApplicationDuration	TotalApplications	TotalApplicationsPerUser
63	 2019-09-30 11:52:04.000	IN	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	0	 00:02:18	0	14	0	0	 00:02:18	10	0
64	 2019-09-30 11:55:20.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	1	 00:03:16	1	15	1	1	 00:03:16	11	1
65	 2019-09-30 11:57:15.000	IN	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	0	 00:05:11	0	14	0	0	 00:05:11	10	0
66	 2019-09-30 11:57:21.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User12	Computer	1	 00:00:06	1	15	1	1	 00:00:00	2	1
67	 2019-09-30 11:57:52.000	IN	AEC COLLECTION	86917RVT_2018_0F	User12	Computer	0	 00:00:37	0	14	0	0	 00:00:31	1	0
68	 2019-09-30 11:58:02.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User12	Computer	1	 00:00:10	1	15	1	1	 00:00:00	4	1
69	 2019-09-30 12:01:45.000	IN	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	1	 02:04:32	1	15	1	1	 02:04:32	4	1
70	 2019-09-30 12:11:20.000	IN	AEC COLLECTION	87149RVT_2019_0F	User12	Computer	0	 00:13:28	0	14	0	0	 00:13:18	3	0
71	 2019-09-30 12:23:04.000	IN	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	0	 01:16:18	0	13	0	0	 01:16:18	0	0
72	 2019-09-30 12:24:16.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	1	 00:01:12	1	14	1	1	 00:01:12	1	1
73	 2019-09-30 12:30:38.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User12	Computer	1	 00:19:18	1	15	1	1	 00:19:18	4	1
74	 2019-09-30 12:34:49.001	OUT	AEC COLLECTION	86604ACD_2017_0F	User9	Computer	2	 02:58:50	1	15	1	1	 00:00:00	2	2
75	 2019-09-30 12:35:33.000	IN	AEC COLLECTION	86604ACD_2017_0F	User9	Computer	1	 02:59:34	1	15	0	0	 00:00:44	1	1
76	 2019-09-30 12:39:01.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	4	 02:35:30	1	15	4	4	 02:35:30	10	1
77	 2019-09-30 12:47:20.000	IN	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	1	 03:23:39	1	15	1	1	 03:23:39	10	1
78	 2019-09-30 12:47:23.000	IN	AEC COLLECTION	87084ACD_2019_0F	User8	Computer	2	 03:05:54	1	15	0	0	 01:39:21	0	2
79	 2019-09-30 13:00:19.000	IN	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	2	 03:32:19	1	15	1	1	 03:32:19	10	2
80	 2019-09-30 13:01:15.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	3	 03:33:15	1	15	2	2	 03:33:15	10	2
81	 2019-09-30 13:01:22.000	IN	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	2	 03:33:22	1	15	1	1	 03:33:22	10	2
82	 2019-09-30 13:02:27.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User4	Computer	3	 03:34:27	1	15	2	2	 03:34:27	10	2
83	 2019-09-30 14:02:41.000	OUT	AEC COLLECTION	87176NAVMAN_2019_0F	User27	Computer	2	 03:50:48	1	15	1	1	 03:30:55	1	2
84	 2019-09-30 14:19:14.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	2	 04:55:33	1	15	2	2	 04:55:33	10	1
85	 2019-09-30 14:19:57.000	IN	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	1	 04:56:16	1	15	1	1	 04:56:16	10	1
86	 2019-09-30 14:20:22.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User3	Computer	2	 04:56:41	1	15	2	2	 04:56:41	10	1
87	 2019-09-30 14:37:38.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	1	 00:00:00	1	16	1	1	 00:00:00	5	1
